Date,Original,Trendline,Prediction
2020-08-01,7604734.0,12992142.368146896,
2020-09-01,8319314.0,12547347.652376175,
2020-10-01,13070155.0,12102552.936606407,
2020-11-01,9296303.0,11657758.220835686,
2020-12-01,12741217.0,11212963.505064964,
2021-01-01,22260163.0,12771916.136133194,
2021-02-01,7198710.0,12327121.420362473,
2021-03-01,11977709.0,11882326.704591751,
2021-04-01,23294391.0,11437531.98882103,
2021-05-01,21627924.0,10992737.273050308,
2021-06-01,21424133.0,10547942.557279587,
2021-07-01,8227363.0,10103147.841508865,
2021-08-01,106561981.0,9658353.125738144,
2021-09-01,11371534.0,9213558.409967422,
2021-10-01,5119441.0,8768763.694197655,
2021-11-01,4853725.0,8323968.978426933,
2021-12-01,6511794.0,7879174.262656212,
2022-01-01,7384121.0,9438126.893725395,
2022-02-01,10845918.0,8993332.177954674,
2022-03-01,2419455.0,8548537.462183952,
2022-04-01,4371529.0,8103742.746413231,
2022-05-01,8128588.0,7658948.030642509,
2022-06-01,2847950.0,7214153.314871788,
2022-07-01,3970946.0,6769358.599101067,
2022-08-01,5602682.0,6324563.883330345,
2022-09-01,2194254.0,5879769.167559624,
2022-10-01,1765242.0,5434974.451789856,
2022-11-01,9253755.0,4990179.7360191345,
2022-12-01,14079025.0,4545385.020248413,
2023-01-01,5623786.0,6104337.651316643,
2023-02-01,2862055.0,5659542.935545921,
2023-03-01,9797604.0,5214748.2197752,
2023-04-01,3886159.0,4769953.504004478,
2023-05-01,3992770.0,4325158.788233757,
2023-06-01,4773945.0,3880364.0724630356,
2023-07-01,1813709.0,3435569.356692314,
2023-08-01,1288120.0,2990774.6409215927,
2023-09-01,987474.0,2545979.9251508713,
2023-10-01,895835.0,2101185.2093811035,
2023-11-01,1335372.0,1656390.493610382,
2023-12-01,2812275.0,1211595.7778396606,
2024-01-01,5258617.0,2770548.408908844,
2024-02-01,1695256.0,2325753.6931381226,
2024-03-01,4002208.0,1880958.9773674011,
2024-04-01,880095.0,1436164.2615966797,880095.0
2024-05-01,,991369.5458259583,1443136.367912979
2024-06-01,,546574.8300552368,1313071.9400276183
2024-07-01,,101780.11428451538,1014161.7221422577
2024-08-01,,-343014.60148620605,467671.8992568969
2024-09-01,,-787809.3172569275,160112.32137153624
