Date,Original,Trendline,Prediction
2020-08-01,2.484218944,3.857768229015619,
2020-09-01,2.65084575,4.034768917197198,
2020-10-01,3.966576968,4.2117696053792315,
2020-11-01,3.998306621,4.388770293561265,
2020-12-01,4.29415658,4.565770981743299,
2021-01-01,3.780683463,4.022058597685827,
2021-02-01,4.562514586,4.199059285867406,
2021-03-01,5.324267043,4.37605997404944,
2021-04-01,4.374310982,4.5530606622314735,
2021-05-01,4.879272676,4.730061350413507,
2021-06-01,5.353647263,4.907062038595086,
2021-07-01,6.038328677,5.08406272677712,
2021-08-01,5.631678618,5.261063414959153,
2021-09-01,5.004303412,5.438064103140732,
2021-10-01,5.238427069,5.615064791322766,
2021-11-01,5.777347211,5.792065479504799,
2021-12-01,5.734624787,5.969066167686833,
2022-01-01,5.863576829,5.4253537836298165,
2022-02-01,5.978213778,5.602354471811395,
2022-03-01,6.547118661,5.779355159993429,
2022-04-01,5.51684781,5.956355848175463,
2022-05-01,6.911193402,6.133356536357496,
2022-06-01,6.333780186,6.310357224539075,
2022-07-01,6.880535865,6.487357912721109,
2022-08-01,7.462230364,6.664358600903142,
2022-09-01,8.593273363,6.841359289084721,
2022-10-01,9.326631397,7.018359977266755,
2022-11-01,8.29948328,7.1953606654487885,
2022-12-01,8.194476014,7.372361353630822,
2023-01-01,7.410493556,6.828648969573351,
2023-02-01,7.217217609,7.00564965775493,
2023-03-01,7.237322361,7.182650345936963,
2023-04-01,6.887586599,7.359651034118997,
2023-05-01,6.389709269,7.5366517223010305,
2023-06-01,6.364027647,7.713652410482609,
2023-07-01,7.12506406,7.890653098664643,
2023-08-01,7.924552863,8.067653786846677,
2023-09-01,7.846857144,8.244654475028256,
2023-10-01,9.304311375,8.42165516321029,
2023-11-01,7.825708115,8.598655851392323,
2023-12-01,9.322816451,8.775656539574356,
2024-01-01,7.202758617,8.231944155516885,
2024-02-01,7.228147206,8.408944843698464,
2024-03-01,8.018125485,8.585945531880498,
2024-04-01,7.946825547,8.762946220062531,7.946825547
2024-05-01,,8.939946908244565,8.032769551987283
2024-06-01,,9.116947596426144,8.064310719438074
2024-07-01,,9.293948284608177,8.17471964004409
2024-08-01,,9.470948972790211,8.661363371470106
2024-09-01,,9.64794966097179,8.748706238545891
