Date,Original,Trendline,Prediction
2020-08-01,743959.9429,1249244.1360477805,
2020-09-01,1127742.103,1304785.2719284296,
2020-10-01,2353067.0,1360326.4078091383,
2020-11-01,842208.5227,1415867.5436897874,
2020-12-01,633429.8158,1471408.6795704365,
2021-01-01,744254.2537,1049130.3253763914,
2021-02-01,1120840.509,1104671.4612571,
2021-03-01,955574.38,1160212.5971377492,
2021-04-01,938802.9194,1215753.7330183983,
2021-05-01,909705.614,1271294.8688990474,
2021-06-01,1077573.028,1326836.004779756,
2021-07-01,2653346.179,1382377.1406604052,
2021-08-01,1091384.156,1437918.2765410542,
2021-09-01,1589300.949,1493459.4124217033,
2021-10-01,1298331.857,1549000.548302412,
2021-11-01,1413963.565,1604541.6841830611,
2021-12-01,1310379.833,1660082.8200637102,
2022-01-01,1011822.694,1237804.4658696055,
2022-02-01,1165685.395,1293345.6017503142,
2022-03-01,1374521.763,1348886.7376309633,
2022-04-01,1145776.086,1404427.8735116124,
2022-05-01,1881026.091,1459969.0093922615,
2022-06-01,1816369.216,1515510.1452729702,
2022-07-01,1786682.69,1571051.2811536193,
2022-08-01,2425174.72,1626592.4170342684,
2022-09-01,1905727.733,1682133.5529149175,
2022-10-01,1971467.733,1737674.6887956262,
2022-11-01,1647761.792,1793215.8246762753,
2022-12-01,1592716.545,1848756.9605569243,
2023-01-01,1587571.594,1426478.6063628197,
2023-02-01,2026356.714,1482019.7422435284,
2023-03-01,1747148.9,1537560.8781241775,
2023-04-01,1933226.531,1593102.0140048265,
2023-05-01,1577965.122,1648643.1498854756,
2023-06-01,1484299.326,1704184.2857661843,
2023-07-01,2104273.542,1759725.4216468334,
2023-08-01,1888860.679,1815266.5575274825,
2023-09-01,2043884.421,1870807.6934081316,
2023-10-01,1948563.63,1926348.8292888403,
2023-11-01,2214317.92,1981889.9651694894,
2023-12-01,1946005.84,2037431.1010501385,
2024-01-01,1674151.846,1615152.7468560338,
2024-02-01,1116948.189,1670693.8827367425,
2024-03-01,1732578.074,1726235.0186173916,
2024-04-01,1237087.76,1781776.1544980407,1237087.76
2024-05-01,,1837317.2903786898,1612248.779764345
2024-06-01,,1892858.4262593985,1632599.1286596998
2024-07-01,,1948399.5621400476,1800542.6485600239
2024-08-01,,2003940.6980206966,1901948.0118853478
2024-09-01,,2059481.8339013457,1931441.7192456732
