Date,Original,Trendline,Prediction
2020-08-01,807945.0,1311857.1691590548,
2020-09-01,646319.2979,1452332.6693193913,
2020-10-01,1105974.438,1592808.1694797277,
2020-11-01,852666.2895,1733283.6696400642,
2020-12-01,911897.75,1873759.1698004007,
2021-01-01,1014196.939,611764.2403681278,
2021-02-01,1041039.926,752239.7405284643,
2021-03-01,760747.0952,892715.2406888008,
2021-04-01,860484.6667,1033190.7408491373,
2021-05-01,950260.7391,1173666.2410094738,
2021-06-01,827317.0,1314141.741169691,
2021-07-01,930706.9474,1454617.2413300276,
2021-08-01,1169299.7,1595092.741490364,
2021-09-01,1114926.048,1735568.2416507006,
2021-10-01,5909165.833,1876043.741811037,
2021-11-01,2365815.636,2016519.2419713736,
2021-12-01,953917.0,2156994.74213171,
2022-01-01,924769.65,894999.8126994371,
2022-02-01,1157644.875,1035475.3128597736,
2022-03-01,1331562.667,1175950.8130201101,
2022-04-01,1388443.588,1316426.3131804466,
2022-05-01,2168654.294,1456901.8133407831,
2022-06-01,1975465.048,1597377.3135010004,
2022-07-01,1288689.357,1737852.813661337,
2022-08-01,1537044.167,1878328.3138216734,
2022-09-01,4261017.143,2018803.81398201,
2022-10-01,2651375.286,2159279.3141423464,
2022-11-01,6544982.667,2299754.814302683,
2022-12-01,1364406.583,2440230.3144630194,
2023-01-01,1023897.933,1178235.3850308657,
2023-02-01,1559616.5,1318710.8851912022,
2023-03-01,2320727.667,1459186.3853515387,
2023-04-01,1300562.75,1599661.8855118752,
2023-05-01,1748561.667,1740137.3856722116,
2023-06-01,748379.0667,1880612.885832429,
2023-07-01,1285936.727,2021088.3859927654,
2023-08-01,1491614.733,2161563.886153102,
2023-09-01,1082346.5,2302039.3863134384,
2023-10-01,2692467.375,2442514.886473775,
2023-11-01,2287082.0,2582990.3866341114,
2023-12-01,2199262.5,2723465.886794448,
2024-01-01,2280261.25,1461470.957362175,
2024-02-01,1167300.222,1601946.4575225115,
2024-03-01,4601020.333,1742421.957682848,
2024-04-01,1901424.5,1882897.4578431845,1901424.5
2024-05-01,,2023372.958003521,1926745.76565026
2024-06-01,,2163848.4581637383,1653400.4624593682
2024-07-01,,2304323.9583240747,1712051.6476855364
2024-08-01,,2444799.4584844112,1947922.4868717054
2024-09-01,,2585274.9586447477,1919838.8624518737
