Date,Original,Trendline,Prediction
2020-08-01,795532.7647,1080374.7662632093,
2020-09-01,609355.7619,1065815.6336233988,
2020-10-01,1386885.866,1051256.5009835884,
2020-11-01,928292.6707,1036697.3683437705,
2020-12-01,1088099.985,1022138.2357039601,
2021-01-01,981236.8654,1163300.7992430031,
2021-02-01,1630190.154,1148741.6666031927,
2021-03-01,941610.8333,1134182.5339633822,
2021-04-01,668226.8136,1119623.4013235644,
2021-05-01,1181254.809,1105064.268683754,
2021-06-01,1058351.0,1090505.1360439435,
2021-07-01,1363228.935,1075946.003404133,
2021-08-01,1447127.489,1061386.8707643226,
2021-09-01,847263.3409,1046827.7381245121,
2021-10-01,999801.4717,1032268.6054847017,
2021-11-01,1008647.0,1017709.4728448838,
2021-12-01,840656.3421,1003150.3402050734,
2022-01-01,1280110.841,1144312.903744109,
2022-02-01,1461525.186,1129753.7711042985,
2022-03-01,1486143.6,1115194.638464488,
2022-04-01,1113345.765,1100635.5058246702,
2022-05-01,913495.1538,1086076.3731848598,
2022-06-01,859391.6286,1071517.2405450493,
2022-07-01,815425.7,1056958.1079052389,
2022-08-01,1013132.676,1042398.9752654284,
2022-09-01,1184819.895,1027839.842625618,
2022-10-01,1884072.111,1013280.7099858075,
2022-11-01,827077.0526,998721.5773459896,
2022-12-01,2715855.204,984162.4447061792,
2023-01-01,1095224.458,1125325.0082452223,
2023-02-01,1128891.943,1110765.8756054118,
2023-03-01,711053.9375,1096206.7429656014,
2023-04-01,926742.3333,1081647.6103257835,
2023-05-01,915178.8043,1067088.477685973,
2023-06-01,916915.4853,1052529.3450461626,
2023-07-01,883651.2381,1037970.2124063522,
2023-08-01,869116.4737,1023411.0797665417,
2023-09-01,875159.875,1008851.9471267313,
2023-10-01,915345.1111,994292.8144869208,
2023-11-01,731947.3284,979733.6818471029,
2023-12-01,612798.7547,965174.5492072925,
2024-01-01,810776.9516,1106337.1127463356,
2024-02-01,1659899.455,1091777.9801065251,
2024-03-01,702135.4151,1077218.8474667147,
2024-04-01,777166.2647,1062659.7148268968,777166.2647
2024-05-01,,1048100.5821870863,963696.7108155431
2024-06-01,,1033541.4495472759,957520.9836186379
2024-07-01,,1018982.3169074655,945471.8204422328
2024-08-01,,1004423.184267655,941236.4903028276
2024-09-01,,989864.0516278446,932418.2704549222
