Date,Original,Trendline,Prediction
2020-08-01,5087343.0,9712918.177698135,
2020-09-01,5883852.0,9414017.258935928,
2020-10-01,8887472.0,9115116.340174675,
2020-11-01,11491595.0,8816215.421412468,
2020-12-01,7540124.0,8517314.502651215,
2021-01-01,9962702.0,8830620.65896988,
2021-02-01,6620509.0,8531719.740208626,
2021-03-01,6143315.0,8232818.821446419,
2021-04-01,31194332.0,7933917.902685165,
2021-05-01,4878307.0,7635016.983922958,
2021-06-01,5542031.0,7336116.065161705,
2021-07-01,31266955.0,7037215.146399498,
2021-08-01,4075609.0,6738314.227638245,
2021-09-01,6702124.0,6439413.308876038,
2021-10-01,6953984.0,6140512.390114784,
2021-11-01,3932285.0,5841611.471352577,
2021-12-01,1875090.0,5542710.552591324,
2022-01-01,5467578.0,5856016.708909988,
2022-02-01,4385786.0,5557115.790148735,
2022-03-01,9376810.0,5258214.871386528,
2022-04-01,903766.0,4959313.952625275,
2022-05-01,4831231.0,4660413.033863068,
2022-06-01,3031591.0,4361512.115101814,
2022-07-01,4095881.0,4062611.1963396072,
2022-08-01,1593757.0,3763710.277578354,
2022-09-01,9148418.0,3464809.358816147,
2022-10-01,800991.0,3165908.4400548935,
2022-11-01,2304896.0,2867007.5212926865,
2022-12-01,1809634.0,2568106.602531433,
2023-01-01,2127791.0,2881412.7588500977,
2023-02-01,654779.0,2582511.8400888443,
2023-03-01,1610631.0,2283610.9213266373,
2023-04-01,2922128.0,1984710.002565384,
2023-05-01,3166131.0,1685809.0838031769,
2023-06-01,754742.0,1386908.1650419235,
2023-07-01,611394.0,1088007.2462797165,
2023-08-01,0.0,789106.3275184631,
2023-09-01,230659.0,490205.4087562561,
2023-10-01,0.0,191304.48999500275,
2023-11-01,0.0,-107596.42876720428,
2023-12-01,531785.0,-406497.34752845764,
2024-01-01,414041.0,-93191.19120979309,
2024-02-01,0.0,-392092.10997104645,
2024-03-01,0.0,-690993.0287332535,
2024-04-01,0.0,-989893.9474945068,0.0
2024-05-01,,-1288794.8662567139,-100658.45312835695
2024-06-01,,-1587695.7850179672,-485812.9575089836
2024-07-01,,-1886596.7037801743,-730247.3468900871
2024-08-01,,-2185497.6225414276,-1074507.911270714
2024-09-01,,-2484398.5413036346,-1183906.8706518174
