Date,Original,Trendline,Prediction
2020-08-01,41175.0,155648.81136257946,
2020-09-01,3827.0,169951.1065440327,
2020-10-01,8614.0,184253.40172547847,
2020-11-01,66977.0,198555.69690692425,
2020-12-01,759.0,212857.99208837003,
2021-01-01,71229.0,31288.92460203916,
2021-02-01,7952.0,45591.219783492386,
2021-03-01,0.0,59893.514964938164,
2021-04-01,0.0,74195.81014638394,
2021-05-01,11510.0,88498.10532782972,
2021-06-01,0.0,102800.40050928295,
2021-07-01,0.0,117102.69569072872,
2021-08-01,0.0,131404.9908721745,
2021-09-01,1456682.0,145707.28605362773,
2021-10-01,821063.0,160009.5812350735,
2021-11-01,20638.0,174311.87641651928,
2021-12-01,5237.0,188614.17159796506,
2022-01-01,12268.0,7045.104111634195,
2022-02-01,5387.0,21347.399293087423,
2022-03-01,0.0,35649.6944745332,
2022-04-01,8035.0,49951.98965597898,
2022-05-01,19518.0,64254.284837424755,
2022-06-01,30004.0,78556.58001887798,
2022-07-01,0.0,92858.87520032376,
2022-08-01,0.0,107161.17038176954,
2022-09-01,0.0,121463.46556322277,
2022-10-01,21397.0,135765.76074466854,
2022-11-01,0.0,150068.05592611432,
2022-12-01,9354.0,164370.3511075601,
2023-01-01,12351.0,-17198.71637877077,
2023-02-01,10561.0,-2896.4211973175406,
2023-03-01,9295.0,11405.873984128237,
2023-04-01,46244.0,25708.169165574014,
2023-05-01,0.0,40010.46434701979,
2023-06-01,20081.0,54312.75952847302,
2023-07-01,0.0,68615.0547099188,
2023-08-01,33837.0,82917.34989136457,
2023-09-01,42842.0,97219.6450728178,
2023-10-01,191368.0,111521.94025426358,
2023-11-01,54397.0,125824.23543570936,
2023-12-01,59728.0,140126.53061715513,
2024-01-01,69384.0,-41442.53686918318,
2024-02-01,50107.0,-27140.241687729955,
2024-03-01,33347.0,-12837.946506284177,
2024-04-01,35058.0,1464.3486751616,35058.0
2024-05-01,,15766.643856607378,23951.73192830369
2024-06-01,,30068.939038060606,31650.9645190303
2024-07-01,,44371.23421950638,38702.307109753194
2024-08-01,,58673.52940095216,47795.32470047608
2024-09-01,,72975.82458240539,213327.4222912027
