Date,Original,Trendline,Prediction
2020-08-01,21348.0,20853.344380466267,
2020-09-01,19135.0,20362.91831835173,
2020-10-01,22173.0,19872.492256237194,
2020-11-01,44795.0,19382.066194120795,
2020-12-01,18985.0,18891.640132006258,
2021-01-01,24115.0,17543.054236423224,
2021-02-01,12841.0,17052.628174308687,
2021-03-01,9637.0,16562.20211219415,
2021-04-01,21315.0,16071.776050077751,
2021-05-01,8835.0,15581.349987963215,
2021-06-01,23075.0,15090.923925848678,
2021-07-01,10475.0,14600.497863734141,
2021-08-01,8834.0,14110.071801619604,
2021-09-01,11443.0,13619.645739505067,
2021-10-01,7981.0,13129.21967739053,
2021-11-01,4341.0,12638.793615274131,
2021-12-01,1876.0,12148.367553159595,
2022-01-01,10811.0,10799.781657576561,
2022-02-01,10299.0,10309.355595462024,
2022-03-01,16470.0,9818.929533347487,
2022-04-01,2085.0,9328.503471231088,
2022-05-01,7634.0,8838.077409116551,
2022-06-01,5520.0,8347.651347002015,
2022-07-01,9126.0,7857.225284887478,
2022-08-01,3731.0,7366.799222772941,
2022-09-01,1721.0,6876.373160658404,
2022-10-01,1681.0,6385.9470985438675,
2022-11-01,5686.0,5895.521036427468,
2022-12-01,5695.0,5405.094974312931,
2023-01-01,3827.0,4056.5090787298977,
2023-02-01,994.0,3566.083016615361,
2023-03-01,2197.0,3075.656954500824,
2023-04-01,6009.0,2585.230892384425,
2023-05-01,5868.0,2094.804830269888,
2023-06-01,1392.0,1604.3787681553513,
2023-07-01,746.0,1113.9527060408145,
2023-08-01,0.0,623.5266439262778,
2023-09-01,518.0,133.100581811741,
2023-10-01,0.0,-357.32548030279577,
2023-11-01,0.0,-847.7515424191952,
2023-12-01,1181.0,-1338.177604533732,
2024-01-01,143.0,-2686.7635001167655,
2024-02-01,0.0,-3177.1895622313023,
2024-03-01,0.0,-3667.615624345839,
2024-04-01,0.0,-4158.041686462238,0.0
2024-05-01,,-4648.467748576775,-1408.6438742883875
2024-06-01,,-5138.893810691312,-2021.061905345656
2024-07-01,,-5629.319872805849,-2365.6049364029245
2024-08-01,,-6119.7459349203855,-3023.4529674601927
2024-09-01,,-6610.171997034922,-3169.435998517461
