Date,Original,Trendline,Prediction
2020-08-01,174752.0,270255.00429469347,
2020-09-01,144895.0,260279.02443799376,
2020-10-01,304595.0,250303.04458126426,
2020-11-01,221239.0,240327.06472456455,
2020-12-01,295515.0,230351.08486783504,
2021-01-01,486624.0,264886.7461423576,
2021-02-01,164087.0,254910.76628565788,
2021-03-01,210889.0,244934.78642892838,
2021-04-01,592564.0,234958.80657222867,
2021-05-01,441137.0,224982.82671549916,
2021-06-01,368006.0,215006.84685879946,
2021-07-01,135060.0,205030.86700206995,
2021-08-01,70345.0,195054.88714534044,
2021-09-01,218686.0,185078.90728864074,
2021-10-01,126643.0,175102.92743191123,
2021-11-01,94595.0,165126.94757521152,
2021-12-01,183829.0,155150.96771848202,
2022-01-01,94647.0,189686.62899300456,
2022-02-01,308017.0,179710.64913630486,
2022-03-01,62958.0,169734.66927957535,
2022-04-01,88971.0,159758.68942287564,
2022-05-01,166366.0,149782.70956614614,
2022-06-01,50113.0,139806.72970944643,
2022-07-01,83378.0,129830.74985271692,
2022-08-01,72133.0,119854.76999598742,
2022-09-01,65488.0,109878.79013928771,
2022-10-01,58894.0,99902.8102825582,
2022-11-01,144609.0,89926.8304258585,
2022-12-01,197926.0,79950.85056912899,
2023-01-01,94436.0,114486.51184368134,
2023-02-01,40067.0,104510.53198698163,
2023-03-01,168488.0,94534.55213025212,
2023-04-01,68567.0,84558.57227355242,
2023-05-01,42607.0,74582.59241682291,
2023-06-01,78340.0,64606.612560123205,
2023-07-01,36727.0,54630.6327033937,
2023-08-01,21235.0,44654.65284666419,
2023-09-01,13122.0,34678.672989964485,
2023-10-01,20557.0,24702.693133234978,
2023-11-01,55032.0,14726.713276535273,
2023-12-01,61200.0,4750.733419805765,
2024-01-01,103736.0,39286.39469432831,
2024-02-01,36083.0,29310.414837628603,
2024-03-01,70493.0,19334.434980899096,
2024-04-01,15298.0,9358.45512419939,15298.0
2024-05-01,,-617.524732530117,15786.797633734941
2024-06-01,,-10593.504589229822,15049.61270538509
2024-07-01,,-20569.48444595933,9198.572777020334
2024-08-01,,-30545.464302688837,-3805.507151344418
2024-09-01,,-40521.44415938854,-11154.402079694271
