Date,Original,Trendline,Prediction
2020-08-01,1144831.188,803693.4944515228,
2020-09-01,1178146.088,885301.1175203323,
2020-10-01,1257779.446,966908.7405891418,
2020-11-01,1120935.044,1048516.3636579514,
2020-12-01,1350238.514,1130123.9867265224,
2021-01-01,1046854.784,813542.9274821281,
2021-02-01,1282348.012,895150.5505509377,
2021-03-01,1245182.158,976758.1736195087,
2021-04-01,1348050.849,1058365.7966883183,
2021-05-01,1280688.207,1139973.4197571278,
2021-06-01,1406790.57,1221581.0428259373,
2021-07-01,1267612.788,1303188.6658947468,
2021-08-01,1285643.708,1384796.2889633179,
2021-09-01,1339246.333,1466403.9120321274,
2021-10-01,1404253.096,1548011.535100937,
2021-11-01,1195718.143,1629619.1581697464,
2021-12-01,1404530.667,1711226.7812383175,
2022-01-01,1438381.553,1394645.7219936848,
2022-02-01,1729032.451,1476253.3450624943,
2022-03-01,1744912.863,1557860.9681310654,
2022-04-01,1433010.727,1639468.5911998749,
2022-05-01,1431532.634,1721076.2142686844,
2022-06-01,1260427.455,1802683.837337494,
2022-07-01,1339345.078,1884291.4604063034,
2022-08-01,1481429.357,1965899.0834748745,
2022-09-01,1665027.786,2047506.706543684,
2022-10-01,1988090.789,2129114.3296124935,
2022-11-01,2142819.49,2210721.952681303,
2022-12-01,1811438.891,2292329.575749874,
2023-01-01,1267844.887,1975748.5165054798,
2023-02-01,2061648.045,2057356.1395742893,
2023-03-01,1020603.123,2138963.7626428604,
2023-04-01,2408179.722,2220571.38571167,
2023-05-01,1795345.474,2302179.0087804794,
2023-06-01,2467490.802,2383786.631849289,
2023-07-01,1948670.846,2465394.2549180984,
2023-08-01,3475475.639,2547001.8779866695,
2023-09-01,1282688.249,2628609.501055479,
2023-10-01,4443408.836,2710217.1241242886,
2023-11-01,2547990.404,2791824.747193098,
2023-12-01,3388588.071,2873432.370261669,
2024-01-01,3191861.692,2556851.3110170364,
2024-02-01,3167999.07,2638458.934085846,
2024-03-01,2213585.741,2720066.557154417,
2024-04-01,3466587.125,2801674.1802232265,3466587.125
2024-05-01,,2883281.803292036,3024757.549796018
2024-06-01,,2964889.4263608456,3069805.5987304216
2024-07-01,,3046497.049429655,3150405.9875148265
2024-08-01,,3128104.672498226,3294856.571909113
2024-09-01,,3209712.2955670357,3076347.613068518
