Date,Original,Trendline,Prediction
2020-08-01,605188477.0,618244535.1637878,
2020-09-01,582386013.0,631502068.9968262,
2020-10-01,830968224.0,644759602.8298645,
2020-11-01,585908280.0,658017136.6629028,
2020-12-01,408760099.0,671274670.4959717,
2021-01-01,121833201.0,446576398.67440796,
2021-02-01,289420029.0,459833932.5074463,
2021-03-01,580698025.0,473091466.34051514,
2021-04-01,354425662.0,486349000.17355347,
2021-05-01,508751522.0,499606534.0065918,
2021-06-01,903794025.0,512864067.8396301,
2021-07-01,460539306.0,526121601.672699,
2021-08-01,574324546.0,539379135.5057373,
2021-09-01,661180877.0,552636669.3387756,
2021-10-01,896604529.0,565894203.171814,
2021-11-01,367419908.0,579151737.0048523,
2021-12-01,429312164.0,592409270.8379211,
2022-01-01,192927754.0,367710999.01638794,
2022-02-01,101412964.0,380968532.84942627,
2022-03-01,374538672.0,394226066.6824951,
2022-04-01,421913908.0,407483600.51553345,
2022-05-01,523831667.0,420741134.3485718,
2022-06-01,455153769.0,433998668.1816101,
2022-07-01,719199827.0,447256202.01467896,
2022-08-01,419982261.0,460513735.8477173,
2022-09-01,663854748.0,473771269.6807556,
2022-10-01,563415536.0,487028803.51379395,
2022-11-01,482238304.0,500286337.3468323,
2022-12-01,367087062.0,513543871.1799011,
2023-01-01,352839791.0,288845599.3583679,
2023-02-01,295164204.0,302103133.19140625,
2023-03-01,314548238.0,315360667.0244751,
2023-04-01,638622715.0,328618200.8575134,
2023-05-01,655675942.0,341875734.69055176,
2023-06-01,361987449.0,355133268.5235901,
2023-07-01,471156028.0,368390802.35665894,
2023-08-01,326409010.0,381648336.18969727,
2023-09-01,334453352.0,394905870.0227356,
2023-10-01,397828756.0,408163403.8557739,
2023-11-01,460803013.0,421420937.68881226,
2023-12-01,168875433.0,434678471.5218811,
2024-01-01,209136071.0,209980199.70031738,
2024-02-01,172890169.0,223237733.5333557,
2024-03-01,234678736.0,236495267.36642456,
2024-04-01,210175766.0,249752801.1994629,210175766.0
2024-05-01,,263010335.03250122,344247169.73625064
2024-06-01,,276267868.86553955,306641996.62776977
2024-07-01,,289525402.6986084,338273337.30930424
2024-08-01,,302782936.5316467,296008682.3758234
2024-09-01,,316040470.36468506,306784686.36734253
