Date,Original,Trendline,Prediction
2020-08-01,362130.1905,715520.4722318593,
2020-09-01,415965.7,705925.5770780426,
2020-10-01,435671.8333,696330.6819242276,
2020-11-01,464815.15,686735.7867704108,
2020-12-01,509648.68,677140.891616594,
2021-01-01,542930.8049,774454.8728303052,
2021-02-01,423453.5294,764859.9776764903,
2021-03-01,921362.2308,755265.0825226735,
2021-04-01,1370258.294,745670.1873688567,
2021-05-01,1201551.333,736075.2922150418,
2021-06-01,1190229.611,726480.397061225,
2021-07-01,914151.4444,716885.5019074082,
2021-08-01,11840220.11,707290.6067535933,
2021-09-01,1033775.818,697695.7115997765,
2021-10-01,568826.7778,688100.8164459616,
2021-11-01,808954.1667,678505.9212921448,
2021-12-01,591981.2727,668911.026138328,
2022-01-01,923015.125,766225.0073520392,
2022-02-01,1205102.0,756630.1121982243,
2022-03-01,604863.75,747035.2170444075,
2022-04-01,624504.1429,737440.3218905907,
2022-05-01,1161226.857,727845.4267367758,
2022-06-01,711987.5,718250.531582959,
2022-07-01,661824.3333,708655.6364291422,
2022-08-01,560268.2,699060.7412753273,
2022-09-01,548563.5,689465.8461215105,
2022-10-01,588414.0,679870.9509676956,
2022-11-01,841250.4545,670276.0558138788,
2022-12-01,1279911.364,660681.160660062,
2023-01-01,511253.2727,757995.1418737732,
2023-02-01,572411.0,748400.2467199583,
2023-03-01,653173.6,738805.3515661415,
2023-04-01,647693.1667,729210.4564123247,
2023-05-01,798554.0,719615.5612585098,
2023-06-01,954789.0,710020.666104693,
2023-07-01,362741.8,700425.7709508762,
2023-08-01,322030.0,690830.8757970612,
2023-09-01,493737.0,681235.9806432445,
2023-10-01,447917.5,671641.0854894295,
2023-11-01,445124.0,662046.1903356127,
2023-12-01,468712.5,652451.295181796,
2024-01-01,657327.125,749765.2763955072,
2024-02-01,565085.3333,740170.3812416922,
2024-03-01,500276.0,730575.4860878754,
2024-04-01,880095.0,720980.5909340587,880095.0
2024-05-01,,711385.6957802437,775086.7836491218
2024-06-01,,701790.8006264269,803083.5028132135
2024-07-01,,692195.9054726101,749761.0127348051
2024-08-01,,682601.0103187952,538457.1363258976
2024-09-01,,673006.1151649784,571212.2088389893
