Date,Original,Trendline,Prediction
2020-08-01,1107654.0,3449708.212365955,
2020-09-01,1825062.0,3228053.644996807,
2020-10-01,2148622.0,3006399.077627659,
2020-11-01,3549260.0,2784744.5102585107,
2020-12-01,4114528.0,2563089.9428893626,
2021-01-01,7088586.0,4959400.358656555,
2021-02-01,3867118.0,4737745.791287407,
2021-03-01,3936194.0,4516091.223918259,
2021-04-01,3183732.0,4294436.656549111,
2021-05-01,3532367.0,4072782.089179963,
2021-06-01,3098381.0,3851127.5218108147,
2021-07-01,2745422.0,3629472.9544416666,
2021-08-01,2820579.0,3407818.3870725185,
2021-09-01,3928099.0,3186163.8197033703,
2021-10-01,5321267.0,2964509.252334222,
2021-11-01,3501608.0,2742854.684965074,
2021-12-01,3758798.0,2521200.117595926,
2022-01-01,7553156.0,4917510.533363119,
2022-02-01,6265800.0,4695855.965993971,
2022-03-01,5336042.0,4474201.3986248225,
2022-04-01,3289286.0,4252546.831255674,
2022-05-01,4508744.0,4030892.263886526,
2022-06-01,3112624.0,3809237.696517378,
2022-07-01,3848436.0,3587583.12914823,
2022-08-01,2934539.0,3365928.561779082,
2022-09-01,2702979.0,3144273.9944099337,
2022-10-01,2474727.0,2922619.4270407856,
2022-11-01,1693808.0,2700964.8596716374,
2022-12-01,2414956.0,2479310.2923024893,
2023-01-01,4668711.0,4875620.708069682,
2023-02-01,5826822.0,4653966.140700534,
2023-03-01,2458329.0,4432311.573331386,
2023-04-01,3110715.0,4210657.005962238,
2023-05-01,6282783.0,3989002.4385930896,
2023-06-01,3058859.0,3767347.8712239414,
2023-07-01,2489972.0,3545693.3038547933,
2023-08-01,2423949.0,3324038.736485645,
2023-09-01,1323276.0,3102384.169116497,
2023-10-01,2863518.0,2880729.601747349,
2023-11-01,1800872.0,2659075.034378201,
2023-12-01,4933551.0,2437420.4670090526,
2024-01-01,1671807.0,4833730.8827762455,
2024-02-01,2253721.0,4612076.315407097,
2024-03-01,3880244.0,4390421.748037949,
2024-04-01,4848544.0,4168767.180668801,4848544.0
2024-05-01,,3947112.613299653,4291977.996649826
2024-06-01,,3725458.045930505,3524265.6829652525
2024-07-01,,3503803.4785613567,3495636.6892806785
2024-08-01,,3282148.9111922085,2956429.4455961045
2024-09-01,,3060494.3438230604,2550836.8369115302
