Date,Original,Trendline,Prediction
2020-08-01,432887.0,729988.0257871747,
2020-09-01,608453.0,747502.1378864646,
2020-10-01,1227175.0,765016.2499857247,
2020-11-01,685431.0,782530.3620849848,
2020-12-01,440556.0,800044.4741842747,
2021-01-01,585162.0,503155.75117340684,
2021-02-01,551664.0,520669.86327269673,
2021-03-01,256809.0,538183.9753719568,
2021-04-01,267903.0,555698.0874712467,
2021-05-01,350326.0,573212.1995705068,
2021-06-01,563414.0,590726.3116697669,
2021-07-01,348778.0,608240.4237690568,
2021-08-01,382246.0,625754.5358683169,
2021-09-01,398120.0,643268.6479676068,
2021-10-01,2020550.0,660782.7600668669,
2021-11-01,1057544.0,678296.872166127,
2021-12-01,251146.0,695810.9842654169,
2022-01-01,441866.0,398922.261254549,
2022-02-01,185467.0,416436.3733538389,
2022-03-01,363067.0,433950.485453099,
2022-04-01,627500.0,451464.5975523889,
2022-05-01,610372.0,468978.709651649,
2022-06-01,641495.0,486492.8217509091,
2022-07-01,386112.0,504006.933850199,
2022-08-01,196761.0,521521.0459494591,
2022-09-01,1372995.0,539035.158048749,
2022-10-01,645068.0,556549.2701480091,
2022-11-01,631208.0,574063.3822472692,
2022-12-01,261529.0,591577.494346559,
2023-01-01,284212.0,294688.7713356912,
2023-02-01,156048.0,312202.8834349811,
2023-03-01,490631.0,329716.9955342412,
2023-04-01,545510.0,347231.1076335311,
2023-05-01,908087.0,364745.2197327912,
2023-06-01,378906.0,382259.3318320513,
2023-07-01,260324.0,399773.4439313412,
2023-08-01,324962.0,417287.55603060126,
2023-09-01,176410.0,434801.66812989116,
2023-10-01,278458.0,452315.78022915125,
2023-11-01,642475.0,469829.89232841134,
2023-12-01,454311.0,487344.00442770123,
2024-01-01,915616.0,190455.2814168334,
2024-02-01,143182.0,207969.3935161233,
2024-03-01,493331.0,225483.5056153834,
2024-04-01,334806.0,242997.61771467328,334806.0
2024-05-01,,260511.72981393337,400569.6649069667
2024-06-01,,278025.84191319346,340438.7609565967
2024-07-01,,295539.95401248336,327385.2220062417
2024-08-01,,313054.06611174345,309137.0230558717
2024-09-01,,330568.17821103334,291009.3691055167
