,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
2022-05,2168654.294,536803.4444,0,0,0,0,0,0,0,6547895.838,0,0,0,0,597306.25,0,913495.1538,0,398368.75,1218671.815,0,1141273.632,1881026.091,1431532.634,1610217.095,954018.7,1161226.857,272561,463222.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06,1975465.048,505265.1667,0,0,0,0,0,0,0,5988865.382,0,0,0,0,656713.7,0,859391.6286,0,986551.4667,1120843,0,804774.5446,1816369.216,1260427.455,1679451.889,819354.8276,711987.5,581879.3333,448645.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07,1288689.357,682646.8333,0,0,0,0,0,0,0,10129575.03,0,0,0,0,962828.5455,0,815425.7,0,602021.6818,1102743.042,0,1259309.674,1786682.69,1339345.078,949540.5714,627891.1111,661824.3333,1239631.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08,1537044.167,796878.5,0,0,0,0,0,0,0,5526082.382,0,0,0,0,754657.3333,0,1013132.676,0,997341.0909,729421.25,0,872074.7172,2425174.72,1481429.357,2408945.077,859944.5,560268.2,637313.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09,4261017.143,3049472.667,0,0,0,0,0,0,0,11646574.53,0,0,0,0,1314592.333,0,1184819.895,0,933445.5833,1355692.632,0,1007823.765,1905727.733,1665027.786,1940788.042,1013974.864,548563.5,4319588.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10,2651375.286,400495.5,0,0,0,0,0,0,0,8048793.371,0,0,0,0,544528.4,0,1884072.111,0,812355.7059,998466.55,0,1077187.75,1971467.733,1988090.789,2050470.875,845941,588414,727894.75,609609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11,6544982.667,576224,0,0,0,0,0,0,0,7306640.97,0,0,0,0,667740.2727,0,827077.0526,0,1688762.125,804629.3125,0,1049754.453,1647761.792,2142819.49,1759884.111,816042.6538,841250.4545,400250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12,1364406.583,904817,0,0,0,0,0,0,0,6118117.7,0,0,0,0,1340730.6,0,2715855.204,0,959594.85,3584473,0,1018634.066,1592716.545,1811438.891,1929133.361,1016250.739,1279911.364,933386,513275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01,1023897.933,531947.75,0,0,0,0,0,0,0,4768105.284,0,0,0,0,659121.6667,0,1095224.458,0,961548,1015184.893,0,1215762.6,1587571.594,1267844.887,2016161.95,622547.8571,511253.2727,933165,497165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02,1559616.5,327389.5,0,0,0,0,0,0,0,4216631.486,0,0,0,0,1173657.125,0,1128891.943,0,1247501.455,783464.9412,0,1319687.88,2026356.714,2061648.045,1770410.697,894510.9444,572411,2424460.643,379119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03,2320727.667,805315.5,0,0,0,0,0,0,0,4250651.865,0,0,0,0,507667.6667,0,711053.9375,0,795544.8947,777461,0,888513.5955,1747148.9,1020603.123,1789733.333,727047.5455,653173.6,612718.6667,392193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04,1300562.75,487021.3333,0,0,0,0,0,0,0,6386227.15,0,0,0,0,899230.6875,0,926742.3333,0,834132.8077,875422.4737,0,1107546.12,1933226.531,2408179.722,1851697.532,726378.6786,647693.1667,1550577.75,631849.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05,1748561.667,1583065.5,0,0,0,0,0,0,0,6244532.781,0,0,0,0,763464.3684,0,915178.8043,0,1064034.857,937897.4348,0,1518435.078,1577965.122,1795345.474,1885615.714,563312.3333,798554,2184689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06,748379.0667,754742,0,0,0,0,0,0,0,4414481.085,0,0,0,0,882769.5,0,916915.4853,0,887391.1429,759066.5238,0,901716.5798,1484299.326,2467490.802,1726618.88,480100.8387,954789,7979487.714,485929.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07,1285936.727,305697,0,0,0,0,0,0,0,6730800.4,0,0,0,0,1320466.5,0,883651.2381,0,600378.2632,1014607.545,0,834589.4211,2104273.542,1948670.846,2161901.4,408294.8571,362741.8,1453822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08,1491614.733,0,0,0,0,0,0,0,0,4945591.061,0,0,0,0,783439.5789,0,869116.4737,0,996457.2667,536593.8182,0,901076.7717,1888860.679,3475475.639,1719067.545,683640.8571,322030,2595958.455,1730655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09,1082346.5,230659,0,0,0,0,0,0,0,5972381.286,0,0,0,0,1559696,0,875159.875,0,363460.5833,1377790,0,673719.7952,2043884.421,1282688.249,1015622.6,385091.3636,493737,3986716.667,653446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10,2692467.375,0,0,0,0,0,0,0,0,6120442.4,0,0,0,0,897170.8462,0,915345.1111,0,932457.1667,1744171.111,0,803741.1707,1948563.63,4443408.836,1101932.667,545012.9091,447917.5,528189,1107227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11,2287082,0,0,0,0,0,0,0,0,5984454.714,0,0,0,0,816436.1111,0,731947.3284,0,567958.3529,1370916,0,873939.2838,2214317.92,2547990.404,1683953.417,514794.4286,445124,4405496,2662642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12,2199262.5,265892.5,0,0,0,0,0,0,0,3446437.408,0,0,0,0,723058.5,0,612798.7547,0,391540.4,8233961.04,0,2798834.886,1946005.84,3388588.071,825486.2222,438061.9333,468712.5,8063048.429,886250.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01,2280261.25,414041,0,0,0,0,0,0,0,3872890.204,0,0,0,0,955510.3636,0,810776.9516,0,700098.4783,2608016.712,0,792383.7614,1674151.846,3191861.692,1031207,444755.7391,657327.125,699972.375,1099912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02,1167300.222,0,0,0,0,0,0,0,0,5961729.966,0,0,0,0,231001.3333,0,1659899.455,0,684820.8889,1032737.486,0,1170921.659,1116948.189,3167999.07,1411082.273,630198.2857,565085.3333,508901.625,701408.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03,4601020.333,0,0,0,0,0,0,0,0,5101711.652,0,0,0,0,1057532.267,0,702135.4151,0,570864.4167,882524.6875,0,1235699.495,1732578.074,2213585.741,2114721.667,369371.913,500276,915277,740224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04,1901424.5,0,0,0,0,0,0,0,0,4203515.32,0,0,0,0,748138.9091,0,777166.2647,0,1115552.944,836676.5,0,1893413.75,1237087.76,3466587.125,817593,442256.3333,880095,10230401.5,656135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
