,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
22-Dec,23938,5695,0,0,0,0,0,0,0,1152676,0,0,0,0,5260,0,281428,0,25801,157991,0,132254,61094,483289,109923,8891,13455,2016,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan,25086,3827,0,0,0,0,0,0,0,962675,0,0,0,0,10963,0,65698,0,31449,57766,0,266204,66068,408050,55766,8573,9317,1888,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Feb,11013,994,0,0,0,0,0,0,0,1038341,0,0,0,0,9700,0,50616,0,38682,31434,0,334624,60309,631731,159561,9281,4425,20011,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar,60139,2197,0,0,0,0,0,0,0,1259884,0,0,0,0,4384,0,50520,0,20223,22412,0,150718,89218,255223,152741,10949,14029,3188,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Apr,36598,6009,0,0,0,0,0,0,0,3041448,0,0,0,0,14656,0,51347,0,39867,55433,0,158297,109984,618957,206840,24707,5877,4933,5040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-May,61282,5868,0,0,0,0,0,0,0,1590366,0,0,0,0,20487,0,48154,0,16165,41494,0,375023,105076,515964,157099,17903,4160,26054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun,21008,1392,0,0,0,0,0,0,0,2135198,0,0,0,0,21823,0,101368,0,22312,22303,0,187339,72874,627035,100788,8725,4408,9797,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jul,15141,746,0,0,0,0,0,0,0,2085982,0,0,0,0,48356,0,86716,0,14346,55121,0,159251,42248,748119,39402,8920,3804,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Aug,14855,0,0,0,0,0,0,0,0,666454,0,0,0,0,24452,0,36875,0,23779,23484,0,143464,49561,1205057,32828,27978,1684,18975,4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep,13673,518,0,0,0,0,0,0,0,1126116,0,0,0,0,12655,0,61122,0,6383,39305,0,96548,46148,377496,16905,4041,443,14067,3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Oct,12902,0,0,0,0,0,0,0,0,980891,0,0,0,0,14179,0,88859,0,19341,86249,0,140268,54489,1118240,30958,6811,1001,7711,5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Nov,39106,0,0,0,0,0,0,0,0,1155363,0,0,0,0,16662,0,70137,0,12923,120371,0,105914,78312,616169,51254,6950,4210,966,4377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Dec,22218,1181,0,0,0,0,0,0,0,323339,0,0,0,0,4215,0,52228,0,6599,935454,0,346751,63937,489854,15449,6614,2516,34550,4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jan,41292,143,0,0,0,0,0,0,0,703792,0,0,0,0,16735,0,102491,0,25443,73553,0,109570,66354,918492,31994,6910,6777,11234,6383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Feb,8152,0,0,0,0,0,0,0,0,412787,0,0,0,0,1127,0,241818,0,29055,47435,0,180210,39732,624093,40347,2179,3914,8489,11725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Mar,21977,0,0,0,0,0,0,0,0,418690,0,0,0,0,21175,0,64872,0,13688,93168,0,191494,51616,490264,19851,12523,4970,3500,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Apr,21003,0,0,0,0,0,0,0,0,628135,0,0,0,0,23640,0,61148,0,40978,43690,0,300053,39141,860521,7222,4987,1179,18454,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
