,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
22-Nov,631208,26836,0,0,0,0,0,0,0,22358231,0,0,0,0,118056,0,595917,0,279424,528996,0,1693808,729267,7656261,145924,294392,144609,17945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Dec,261529,21850,0,0,0,0,0,0,0,20702542,0,0,0,0,104070,0,4696139,0,331865,1980988,0,2414956,896846,8462190,450584,293459,197926,11089,9354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan,284212,29573,0,0,0,0,0,0,0,13259135,0,0,0,0,149279,0,616491,0,499418,712177,0,4668711,1132504,5303732,275499,199949,94436,46829,12351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Feb,156048,10424,0,0,0,0,0,0,0,11668944,0,0,0,0,157442,0,471852,0,482241,324782,0,5826822,933401,12577997,361577,231555,40067,131497,10561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar,490631,13110,0,0,0,0,0,0,0,17140986,0,0,0,0,80896,0,397089,0,300225,321692,0,2458329,1376676,4034242,385745,261354,168488,29905,9295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Apr,545510,31702,0,0,0,0,0,0,0,36391208,0,0,0,0,211791,0,487782,0,372748,464693,0,3110715,2365049,15058630,694274,498341,68567,172753,46244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-May,908087,51453,0,0,0,0,0,0,0,22845121,0,0,0,0,273253,0,547735,0,262414,567640,0,6282783,2009015,12545419,415162,197757,42607,344622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun,378906,7135,0,0,0,0,0,0,0,21791225,0,0,0,0,403030,0,602432,0,353438,293574,0,3058859,1263607,13052022,235335,176931,78340,466672,20081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jul,260324,8032,0,0,0,0,0,0,0,25676534,0,0,0,0,739489,0,539340,0,217590,663692,0,2489972,695423,11421880,215784,136031,36727,46342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Aug,324962,0,0,0,0,0,0,0,0,10030086,0,0,0,0,425357,0,389153,0,277328,232639,0,2423949,766851,20492561,195596,510263,21235,93680,33837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep,176410,5611,0,0,0,0,0,0,0,12826576,0,0,0,0,316139,0,539823,0,80539,526055,0,1323276,677010,5553757,55045,131233,13122,455924,42842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Oct,278458,0,0,0,0,0,0,0,0,15798691,0,0,0,0,320433,0,742800,0,358544,1563002,0,2863518,917664,20885470,152842,191841,20557,53950,191368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Nov,642475,0,0,0,0,0,0,0,0,18362062,0,0,0,0,376897,0,601887,0,188939,1876111,0,1800872,1816193,16678784,142097,187617,55032,144076,54397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Dec,454311,11319,0,0,0,0,0,0,0,5661299,0,0,0,0,103318,0,405745,0,93990,12868343,0,4933551,956089,14211842,60004,115429,61200,1563010,59728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jan,915616,3363,0,0,0,0,0,0,0,11447656,0,0,0,0,268667,0,575284,0,292087,2191150,0,1671807,1031613,24766969,159520,181334,103736,75039,69384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Feb,143182,0,0,0,0,0,0,0,0,6217287,0,0,0,0,25386,0,1641942,0,307231,679162,0,2253721,600612,15828433,158251,103247,36083,60373,50107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Mar,493331,0,0,0,0,0,0,0,0,7224470,0,0,0,0,365047,0,449774,0,146240,973628,0,3880244,799450,9863673,96097,174635,70493,25146,33347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Apr,334806,0,0,0,0,0,0,0,0,8471051,0,0,0,0,331690,0,297120,0,477491,722047,0,4848544,471734,16615511,57554,71227,15298,603643,35058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
