Date,like_Original,like_Trendline,like_Prediction,num_Original,num_Trendline,num_Prediction,view_Original,view_Trendline,view_Prediction
2020-08-01,174752.0,270255.00429469347,,37492.0,33913.13665760681,,7604734.0,12992142.368146896,
2020-09-01,144895.0,260279.02443799376,,39451.0,32559.470833409578,,8319314.0,12547347.652376177,
2020-10-01,304595.0,250303.04458126423,,35635.0,31205.805009212345,,13070155.0,12102552.936606407,
2020-11-01,221239.0,240327.06472456452,,17386.0,29852.13918501884,,9296303.0,11657758.220835686,
2020-12-01,295515.0,230351.08486783504,,28642.0,28498.473360821605,,12741217.0,11212963.505064964,
2021-01-01,486624.0,264886.7461423576,,50526.0,32222.970907837152,,22260163.0,12771916.136133194,
2021-02-01,164087.0,254910.76628565788,,13861.0,30869.305083643645,,7198710.0,12327121.420362473,
2021-03-01,210889.0,244934.7864289284,,30538.0,29515.63925944641,,11977709.0,11882326.704591751,
2021-04-01,592564.0,234958.80657222867,,68610.0,28161.97343524918,,23294391.0,11437531.98882103,
2021-05-01,441137.0,224982.8267154992,,91447.0,26808.307611055672,,21627924.0,10992737.273050308,
2021-06-01,368006.0,215006.84685879943,,34910.0,25454.64178685844,,21424133.0,10547942.557279589,
2021-07-01,135060.0,205030.86700206995,,15519.0,24100.975962661207,,8227363.0,10103147.841508863,
2021-08-01,70345.0,195054.88714534044,,8829.0,22747.3101384677,,106561981.0,9658353.125738144,
2021-09-01,218686.0,185078.90728864077,,16519.0,21393.644314270467,,11371534.0,9213558.409967422,
2021-10-01,126643.0,175102.92743191123,,9475.0,20039.978490073237,,5119441.0,8768763.694197655,
2021-11-01,94595.0,165126.94757521152,,8279.0,18686.312665879726,,4853725.0,8323968.978426933,
2021-12-01,183829.0,155150.96771848202,,13227.0,17332.646841682494,,6511794.0,7879174.262656212,
2022-01-01,94647.0,189686.62899300456,,6899.0,21057.14438869804,,7384121.0,9438126.893725395,
2022-02-01,308017.0,179710.64913630486,,8342.0,19703.47856450453,,10845918.0,8993332.177954674,
2022-03-01,62958.0,169734.66927957535,,1993.0,18349.8127403073,,2419455.0,8548537.462183952,
2022-04-01,88971.0,159758.68942287564,,6224.0,16996.14691611007,,4371529.0,8103742.746413231,
2022-05-01,166366.0,149782.70956614614,,12678.0,15642.48109191656,,8128588.0,7658948.030642509,
2022-06-01,50113.0,139806.72970944643,,2617.0,14288.815267719328,,2847950.0,7214153.314871788,
2022-07-01,83378.0,129830.74985271692,,5689.0,12935.149443522096,,3970946.0,6769358.599101067,
2022-08-01,72133.0,119854.76999598742,,7307.0,11581.483619328588,,5602682.0,6324563.883330345,
2022-09-01,65488.0,109878.79013928772,,3027.0,10227.817795131356,,2194254.0,5879769.167559624,
2022-10-01,58894.0,99902.8102825582,,3027.0,8874.151970934123,,1765242.0,5434974.451789856,
2022-11-01,144609.0,89926.8304258585,,9041.0,7520.486146740615,,9253755.0,4990179.736019135,
2022-12-01,197926.0,79950.85056912899,,13455.0,6166.820322543383,,14079025.0,4545385.020248413,
2023-01-01,94436.0,114486.51184368134,,9317.0,9891.31786955893,,5623786.0,6104337.651316643,
2023-02-01,40067.0,104510.53198698164,,4425.0,8537.652045365423,,2862055.0,5659542.935545921,
2023-03-01,168488.0,94534.55213025212,,14029.0,7183.98622116819,,9797604.0,5214748.2197752,
2023-04-01,68567.0,84558.57227355242,,5877.0,5830.3203969709575,,3886159.0,4769953.504004478,
2023-05-01,42607.0,74582.59241682291,,4160.0,4476.65457277745,,3992770.0,4325158.788233757,
2023-06-01,78340.0,64606.612560123205,,4408.0,3122.9887485802174,,4773945.0,3880364.072463036,
2023-07-01,36727.0,54630.6327033937,,3804.0,1769.3229243829846,,1813709.0,3435569.356692314,
2023-08-01,21235.0,44654.65284666419,,1684.0,415.6571001894772,,1288120.0,2990774.6409215927,
2023-09-01,13122.0,34678.672989964485,,443.0,-938.0087240077556,,987474.0,2545979.9251508717,
2023-10-01,20557.0,24702.693133234978,,1001.0,-2291.674548204988,,895835.0,2101185.2093811035,
2023-11-01,55032.0,14726.713276535273,,4210.0,-3645.340372398496,,1335372.0,1656390.493610382,
2023-12-01,61200.0,4750.733419805765,,2516.0,-4999.006196595728,,2812275.0,1211595.7778396606,
2024-01-01,103736.0,39286.39469432831,,6777.0,-1274.5086495801806,,5258617.0,2770548.408908844,
2024-02-01,36083.0,29310.414837628603,,3914.0,-2628.174473773688,,1695256.0,2325753.6931381226,
2024-03-01,70493.0,19334.434980899096,,4970.0,-3981.840297970921,,4002208.0,1880958.977367401,
2024-04-01,15298.0,9358.45512419939,15298.0,1179.0,-5335.5061221681535,1179.0,880095.0,1436164.2615966797,880095.0
2024-05-01,,-617.524732530117,15786.79763373494,,-6689.171946361661,-1714.4359731808304,,991369.5458259584,1443136.367912979
2024-06-01,,-10593.504589229822,15049.61270538509,,-8042.837770558894,-2569.9888852794465,,546574.8300552368,1313071.9400276183
2024-07-01,,-20569.48444595933,9198.572777020334,,-9396.503594756126,-3335.9317973780635,,101780.11428451538,1014161.7221422576
2024-08-01,,-30545.46430268884,-3805.507151344418,,-10750.169418949634,-4423.144709474816,,-343014.60148620605,467671.8992568969
2024-09-01,,-40521.44415938854,-11154.402079694271,,-12103.835243146868,-5511.572621573433,,-787809.3172569275,160112.32137153624
