Date,like_Original,like_Trendline,like_Prediction,num_Original,num_Trendline,num_Prediction,view_Original,view_Trendline,view_Prediction
2020-08-01,45785676.0,44717574.58727264,,8983251.0,5640552.014436245,,605188477.0,618244535.1637878,
2020-09-01,50215223.0,45331450.85500717,,5597144.0,5644823.026097775,,582386013.0,631502068.9968262,
2020-10-01,57938195.0,45945327.1227417,,5648748.0,5649094.037759304,,830968224.0,644759602.8298645,
2020-11-01,42045611.0,46559203.39047623,,5098317.0,5653365.049420834,,585908280.0,658017136.6629028,
2020-12-01,26851196.0,47173079.658210754,,5847520.0,5657636.061082363,,408760099.0,671274670.4959717,
2021-01-01,7170123.0,31146730.06098938,,556241.0,4097968.391162872,,121833201.0,446576398.674408,
2021-02-01,24019227.0,31760606.328723907,,2311609.0,4102239.402824402,,289420029.0,459833932.5074463,
2021-03-01,39951185.0,32374482.596458435,,4198124.0,4106510.4144859314,,580698025.0,473091466.3405152,
2021-04-01,27374457.0,32988358.864192963,,4200398.0,4110781.426147461,,354425662.0,486349000.1735535,
2021-05-01,28470399.0,33602235.13192749,,3743023.0,4115052.4378089914,,508751522.0,499606534.0065918,
2021-06-01,57426803.0,34216111.39966202,,13584305.0,4119323.44947052,,903794025.0,512864067.8396301,
2021-07-01,32939862.0,34829987.667396545,,4316884.0,4123594.4611325264,,460539306.0,526121601.672699,
2021-08-01,35873525.0,35443863.93513107,,1969017.0,4127865.472794056,,574324546.0,539379135.5057373,
2021-09-01,55026695.0,36057740.2028656,,6501390.0,4132136.4844555855,,661180877.0,552636669.3387756,
2021-10-01,54720041.0,36671616.47060013,,3652764.0,4136407.496117115,,896604529.0,565894203.171814,
2021-11-01,19708625.0,37285492.738334656,,1536375.0,4140678.507778645,,367419908.0,579151737.0048523,
2021-12-01,21438757.0,37899369.00606918,,1332143.0,4144949.519440174,,429312164.0,592409270.8379211,
2022-01-01,8963153.0,21873019.408851624,,426184.0,2585281.8495206838,,192927754.0,367710999.016388,
2022-02-01,7971720.0,22486895.67658615,,411095.0,2589552.861182213,,101412964.0,380968532.8494263,
2022-03-01,17318554.0,23100771.94432068,,1550527.0,2593823.8728437424,,374538672.0,394226066.6824951,
2022-04-01,20936360.0,23714648.212055206,,1316648.0,2598094.884505272,,421913908.0,407483600.5155335,
2022-05-01,27848667.0,24328524.47978973,,1583591.0,2602365.896166801,,523831667.0,420741134.3485718,
2022-06-01,38388757.0,24942400.74752426,,4626437.0,2606636.907828331,,455153769.0,433998668.1816101,
2022-07-01,29701575.0,25556277.01525879,,3954752.0,2610907.9194903374,,719199827.0,447256202.01467896,
2022-08-01,29854071.0,26170153.28299332,,2381064.0,2615178.931151867,,419982261.0,460513735.8477173,
2022-09-01,31309418.0,26784029.550727844,,5675447.0,2619449.9428133965,,663854748.0,473771269.6807556,
2022-10-01,23801827.0,27397905.81846237,,2570945.0,2623720.954474926,,563415536.0,487028803.513794,
2022-11-01,22358231.0,28011782.0861969,,1316272.0,2627991.9661364555,,482238304.0,500286337.3468323,
2022-12-01,20702542.0,28625658.353931427,,1152676.0,2632262.977797985,,367087062.0,513543871.1799011,
2023-01-01,13259135.0,12599308.756713867,,962675.0,1072595.3078784945,,352839791.0,288845599.3583679,
2023-02-01,11668944.0,13213185.024448397,,1038341.0,1076866.3195400238,,295164204.0,302103133.19140625,
2023-03-01,17140986.0,13827061.292182922,,1259884.0,1081137.331201553,,314548238.0,315360667.0244751,
2023-04-01,36391208.0,14440937.55991745,,3041448.0,1085408.342863083,,638622715.0,328618200.8575134,
2023-05-01,22845121.0,15054813.827651978,,1590366.0,1089679.3545246124,,655675942.0,341875734.69055176,
2023-06-01,21791225.0,15668690.095386503,,2135198.0,1093950.366186142,,361987449.0,355133268.5235901,
2023-07-01,25676534.0,16282566.363121033,,2085982.0,1098221.3778481483,,471156028.0,368390802.3566589,
2023-08-01,10030086.0,16896442.63085556,,666454.0,1102492.389509678,,326409010.0,381648336.18969727,
2023-09-01,12826576.0,17510318.898590088,,1126116.0,1106763.4011712074,,334453352.0,394905870.0227356,
2023-10-01,15798691.0,18124195.16632461,,980891.0,1111034.412832737,,397828756.0,408163403.8557739,
2023-11-01,18362062.0,18738071.434059143,,1155363.0,1115305.4244942665,,460803013.0,421420937.68881226,
2023-12-01,5661299.0,19351947.70179367,,323339.0,1119576.436155796,,168875433.0,434678471.5218811,
2024-01-01,11447656.0,3325598.104576111,,703792.0,-440091.2337632179,,209136071.0,209980199.70031735,
2024-02-01,6217287.0,3939474.3723106384,,412787.0,-435820.2221016884,,172890169.0,223237733.5333557,
2024-03-01,7224470.0,4553350.640045166,,418690.0,-431549.2104401589,,234678736.0,236495267.36642456,
2024-04-01,8471051.0,5167226.907779694,8471051.0,628135.0,-427278.1987786293,628135.0,210175766.0,249752801.1994629,210175766.0
2024-05-01,,5781103.175514221,10404797.567757113,,-423007.18711709976,365998.9114414501,,263010335.0325012,344247169.73625064
2024-06-01,,6394979.443248749,10835295.436624374,,-418736.1754555702,668875.7022722149,,276267868.86553955,306641996.62776977
2024-07-01,,7008855.710983276,10886833.105491638,,-414465.16379356384,804176.7981032181,,289525402.6986084,338273337.30930424
2024-08-01,,7622731.978717804,9502830.699358905,,-410194.1521320343,257412.63393398287,,302782936.5316467,296008682.3758234
2024-09-01,,8236608.246452332,10217532.108226163,,-405923.1404705048,290782.0247647476,,316040470.36468506,306784686.36734253
